url,http_status,class,location,robots,canonical
https://cnfcd.life/外食族減脂攻略：台灣常見餐食的血糖地雷排行/,301,redirect,https://cnfcd.life/eating-out-fat-loss-taiwan-blood-sugar/,,
https://cnfcd.life/運動了還是瘦不下來？你可能搞錯了減脂的順序/,301,redirect,https://cnfcd.life/exercise-but-not-losing-weight-fat-loss-order/,,
https://cnfcd.life/間歇性斷食真的有效嗎？台灣人最常犯的-3-個錯誤/,301,redirect,https://cnfcd.life/intermittent-fasting-effective-taiwan-3-mistakes/,,
https://cnfcd.life/cnfcd-產品是什麼？六大模組帶你看懂完整的代謝修復/,301,redirect,https://cnfcd.life/cnfcd-product-six-modules-metabolic-system/,,
https://cnfcd.life/代謝症候群與失眠：血糖不穩定如何讓你整夜睡不/,301,redirect,https://cnfcd.life/metabolic-syndrome-insomnia-blood-sugar/,,
https://cnfcd.life/兒童肥胖：台灣小胖子比例創新高，代謝問題從小/,301,redirect,https://cnfcd.life/taiwan-children-obesity-metabolic-issues/,,
https://cnfcd.life/女性減脂為什麼比男性難？荷爾蒙週期與體脂的關/,301,redirect,https://cnfcd.life/female-fat-loss-hormones-menstrual-cycle-difficulty/,,
https://cnfcd.life/about-cnfcd/,200,indexable_200,,"max-image-preview:large | index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://cnfcd.life/about-cnfcd/
https://cnfcd.life/cnfcd-faq/,200,indexable_200,,"max-image-preview:large | index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://cnfcd.life/cnfcd-faq/
https://cnfcd.life/tag/homebody-zh/,200,noindex_follow,,"max-image-preview:large | noindex, follow, max-image-preview:large",
https://cnfcd.life/category/cnfcd/,200,noindex_follow,,"max-image-preview:large | noindex, follow, max-image-preview:large",
https://cnfcd.life/privacy-policy/,200,indexable_200,,"max-image-preview:large | index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://cnfcd.life/privacy-policy/
https://cnfcd.life/category/age-range/,200,noindex_follow,,"max-image-preview:large | noindex, follow, max-image-preview:large",
https://cnfcd.life/en/tag/homebody-en/,200,noindex_follow,,"max-image-preview:large | noindex, follow, max-image-preview:large",
https://cnfcd.life/category/cnfcd-articles/,200,noindex_follow,,"max-image-preview:large | noindex, follow, max-image-preview:large",
